playlist_name,playlist_id,followers,average_danceability,average_energy,average_key,average_loudness,average_mode,average_speechiness,average_acousticness,average_instrumentalness,average_liveness,average_valence,average_tempo,average_time_signature,average_duration_ms,total_duration,total_num,genre,max_popularity,avg_popularity
This Is: Muse,37i9dQZF1DWTG97QsiXgEX,99733,0.447083333,0.795472222,5.833333333,-5.868805556,0.777777778,0.055905556,0.055614104,0.062480814,0.258575,0.325072222,122.5543889,3.888888889,274405.8056,9878609,36,metal,73,54.5
This is: Neil Young,37i9dQZF1DWT6VDwxLyl0W,60876,0.49774,0.45033,4.92,-12.48266,0.72,0.045644,0.40373432,0.015754912,0.186134,0.4766,124.59744,3.92,295101.44,14755072,50,rock,67,38.64
This Is: Nina Simone,37i9dQZF1DX8OYzU0lx5hL,59221,0.48404,0.3175234,6.96,-13.35662,0.58,0.053734,0.76176,0.010191134,0.16148,0.47794,117.5754,3.66,215060.26,10753013,50,christmas,68,42.76
This Is: New Edition,37i9dQZF1DWThFkopzOaNW,51318,0.683652174,0.6125,5.652173913,-10.75073913,0.608695652,0.059395652,0.233712326,0.012127304,0.182930435,0.681608696,112.4438261,3.956521739,282615.9565,13000334,46,soul,63,40.32608696
This Is: One Direction,37i9dQZF1DX6p4TJxzMRDe,306167,0.58102,0.7551,4.36,-4.50168,0.84,0.048388,0.11529116,2.58E-08,0.189992,0.52382,124.8796,3.98,209573.06,10478653,50,pop,75,61.48
This Is: OneRepublic,37i9dQZF1DXbZBKpgxsyXU,98303,0.54915625,0.7243125,5.1875,-6.0285625,0.625,0.050778125,0.168040625,0.006555215,0.18204375,0.389009375,111.22575,3.9375,237407.6563,7597045,32,pop,83,48.96875
This is: Raffi,37i9dQZF1DX4dWEvmDfGoP,4673,0.67586,0.231988,4.32,-13.76276,0.94,0.107158,0.75028,0.019466597,0.168504,0.6779,114.5711,3.84,121346.92,6067346,50,christmas,38,27.14
This Is: Prince,37i9dQZF1DX6JzJ8vAK836,372971,0.721478261,0.562353623,4.84057971,-11.36910145,0.782608696,0.076114493,0.179368058,0.073625213,0.218637681,0.611772464,118.6413623,3.942028986,294292.2464,20306165,69,rock,73,44.82608696
This Is: Rag'n'Bone Man,37i9dQZF1DWXqcBHh7a68E,71807,0.565064516,0.587516129,5.838709677,-7.118709677,0.35483871,0.117445161,0.369683871,0.001329405,0.178370968,0.399919355,105.53,3.838709677,210165.3871,6515127,31,None,81,53.96774194
This Is: Soundgarden,37i9dQZF1DX024QaIPhrkq,42346,0.399117647,0.804392157,5.509803922,-7.973588235,0.764705882,0.056937255,0.007633393,0.192341784,0.199276471,0.422745098,126.9928039,3.745098039,270563.7451,13798751,51,metal,70,26.01960784
